mac,dep_station,dep_time,time,dep_time_group
mac,dep_station,dep_time,time,NaN
b8:bc:1b:31:cd:e2,calle100,4,418,0
da:a1:19:69:76:2a,calle100,19,3050,0
da:a1:19:7f:fa:ae,calle100,32,4559,0
98:0c:a5:51:d6:f7,calle100,93,353,0
5c:51:88:64:d6:a1,calle100,118,298,0
f4:f5:24:fc:f6:ec,calle100,134,144,0
ec:88:92:d8:cc:73,calle100,136,160,0
da:a1:19:f0:56:41,calle100,230,95,0
da:a1:19:23:8b:3f,calle100,355,2800,300
80:58:f8:ba:37:22,calle100,525,3789,300
f0:43:47:51:56:28,calle100,533,267,300
da:a1:19:30:74:ef,calle100,541,2736,300
da:a1:19:b0:19:64,calle100,618,3197,600
80:58:f8:ff:94:e5,calle100,691,2704,600
da:a1:19:16:f0:80,calle100,800,2962,600
84:c7:ea:e1:d4:c6,calle100,850,2433,600
38:0f:4a:88:20:b9,calle100,964,2409,900
7c:1c:68:27:d8:5c,calle100,1559,6763,1500
80:6c:1b:21:bb:8e,calle100,1593,3001,1500
da:a1:19:fc:c1:75,calle100,1773,2663,1500
da:a1:19:84:75:ab,calle100,1847,1927,1800
da:a1:19:6e:90:43,calle100,1850,1902,1800
cc:61:e5:21:d5:50,calle100,1961,2313,1800
88:b4:a6:48:4c:51,calle100,1986,1391,1800
da:a1:19:19:cd:b8,calle100,1990,1423,1800
bc:3d:85:5b:fd:23,calle100,2133,2404,2100
da:a1:19:e5:f2:a2,calle100,2153,1579,2100
0c:cb:85:dd:9b:71,calle100,2336,506,2100
a4:70:d6:6f:6d:26,calle100,2336,694,2100
88:75:98:9f:82:2c,calle100,2467,386,2400
04:d6:aa:77:fb:f5,calle100,2600,235,2400
58:2a:f7:92:f8:c8,calle100,2615,231,2400
50:04:b8:93:e4:5c,calle100,2820,571,2700
da:a1:19:b0:19:c9,calle100,2833,223,2700
34:14:5f:c1:df:25,calle100,2844,603,2700
5c:2e:59:45:ff:f2,calle100,2882,296,2700
cc:9f:7a:aa:4b:79,calle100,2934,5849,2700
40:88:05:d9:e8:45,calle100,2965,425,2700
d8:e5:6d:2c:95:b9,calle100,2968,1399,2700
80:58:f8:b3:67:1b,calle100,3002,608,3000
dc:cf:96:c3:ff:38,calle100,3090,286,3000
f4:f5:24:ca:51:5e,calle100,3096,293,3000
e4:58:b8:b5:21:33,calle100,3133,624,3000
d0:04:01:28:66:87,calle100,3207,320,3000
a0:32:99:c7:2b:9a,calle100,3211,216,3000
74:5c:9f:3f:17:9c,calle100,3221,185,3000
d4:63:c6:9a:cc:0d,calle100,3222,426,3000
7c:b1:5d:af:68:dd,calle100,3257,5340,3000
3c:f7:a4:6d:e7:d3,calle100,3327,180,3300
da:a1:19:ab:5d:48,calle100,3338,1120,3300
fc:42:03:5e:b9:4f,calle100,3386,5216,3300
a8:a1:98:e0:3a:f3,calle100,3456,271,3300
da:a1:19:19:81:35,calle100,3903,397,3900
44:80:eb:d9:6c:f8,calle100,3909,361,3900
24:df:6a:cb:9a:a8,calle100,3912,671,3900
3c:bb:fd:c8:1c:21,calle100,3924,379,3900
c8:d7:b0:40:88:71,calle100,3937,448,3900
9c:d9:17:6f:da:96,calle100,3942,508,3900
0c:cb:85:d5:e6:e8,calle100,3952,4860,3900
80:58:f8:88:56:93,calle100,5162,3268,5100
14:1f:78:4a:88:07,calle100,7154,1275,6900
5c:c3:07:a0:92:55,calle100,7521,762,7500
70:4d:7b:0b:cd:75,calle100,7998,312,7800
a8:c8:3a:7b:cb:ba,calle100,8050,241,7800
64:a6:51:43:7a:2e,calle100,8146,319,8100
08:d4:6a:c3:3c:53,calle100,8412,314,8400
d0:9d:ab:39:60:e8,calle100,8462,144,8400
